pc_select               	table tag               	table_match             	table tag               	table_match             	table tag               	table_match             	table tag               	table_match             	table tag               	table_match             	table tag               	table_match             	table tag               	table_match             	table tag               	table_match             	
000110000011            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000110000011            	000000000001            	000110000011            	000000000001            	000110000011            	000000000001            	
000110000011            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000110000011            	000000000001            	000110000011            	000000000001            	000110000011            	000000000001            	
000110000011            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000110000011            	000000000001            	000110000011            	000000000001            	000110000011            	000000000001            	
000110000011            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000110000011            	000000000001            	000110000011            	000000000001            	000110000011            	000000000001            	
000110000111            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000111100001            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000011111000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000011111100            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000100011111            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000111100110            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000111101001            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000111111010            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000111111110            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000000000001            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000000000100            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000000011000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000000101100            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000001000001            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000001001011            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000001011011            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000001011110            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000001100001            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000001100100            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000001101010            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000001101101            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000001110000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000001110010            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000010010110            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000000011011            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000000111001            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000010011110            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000010100001            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000010100100            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000010100111            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000010101010            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000010101101            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000010101111            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
000010110001            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	000000000000            	
